road_id,period,actual_flow,distance,capacity,condition,is_two_way
1,MORNING,5900,8.5,3000,7,1
1,EVENING,5500,8.5,3000,7,1
39,MORNING,2400,9.1,2700,8,1
35,EVENING,2800,33.4,3600,9,1
37,NIGHT,1200,6.4,2600,7,1
29,MORNING,1900,4.8,2400,8,1
44,EVENING,2200,17.9,3000,8,1
12,MORNING,1242,2.2,1800,8,1
47,MORNING,1242,3.5,1800,8,1
17,MORNING,1311,2.1,1900,7,1
48,MORNING,1311,6.1,1900,7,1
6,MORNING,1380,3.2,2000,8,1
26,MORNING,1380,2.5,2000,7,1
38,MORNING,1380,4.2,2000,6,1
46,MORNING,1380,4.6,2000,7,1
31,MORNING,1449,3.4,2100,7,1
15,MORNING,1518,3.3,2200,7,1
19,MORNING,1518,3.6,2200,7,1
33,MORNING,1518,2.9,2200,8,1
45,MORNING,1518,2.8,2200,7,1
34,MORNING,1587,5.1,2300,8,1
8,MORNING,1656,3.8,2400,7,1
18,MORNING,1656,8.7,2400,6,1
40,MORNING,1656,7.3,2400,7,1
43,MORNING,1656,12.4,2400,7,1
2,MORNING,1725,6.2,2500,6,1
32,MORNING,1725,18.1,2500,8,1
41,MORNING,1725,10.8,2500,8,1
7,MORNING,1794,4.5,2600,6,1
16,MORNING,1794,14.8,2600,5,1
30,MORNING,1794,11.6,2600,7,1
37,MORNING,1794,6.4,2600,7,1
3,MORNING,1932,5.9,2800,8,1
20,MORNING,1932,12.7,2800,6,1
27,MORNING,1932,8.3,2800,8,1
36,MORNING,1932,18.7,2800,7,1
42,MORNING,1932,13.7,2800,8,1
10,MORNING,2070,5.3,3000,10,1
14,MORNING,2070,9.8,3000,9,1
23,MORNING,2070,9.8,3000,9,1
28,MORNING,2070,6.1,3000,9,1
44,MORNING,2070,17.9,3000,8,1
11,MORNING,2139,7.9,3100,7,1
4,MORNING,2208,4.0,3200,9,1
25,MORNING,2208,9.2,3200,8,1
5,MORNING,2415,6.1,3500,7,1
13,MORNING,2415,24.5,3500,8,1
24,MORNING,2415,7.5,3500,9,1
35,MORNING,2484,33.4,3600,9,1
